,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
14532,EZYV14533,Asia,Bachelor's,Y,N,415,2002,Northeast,59125.94,Year,Y,Certified
14533,EZYV14534,Asia,Bachelor's,Y,N,2031,1967,South,94367.19,Year,Y,Denied
14534,EZYV14535,Asia,Bachelor's,Y,N,42998,2002,West,13081.34,Year,Y,Certified
14535,EZYV14536,South America,High School,N,Y,2513,1989,South,161454.21,Year,Y,Denied
14536,EZYV14537,Asia,Doctorate,Y,Y,16365,2007,South,96742.48,Year,Y,Denied
14537,EZYV14538,Europe,Bachelor's,N,Y,1689,1880,South,44428.4,Year,Y,Certified
14538,EZYV14539,South America,Doctorate,N,N,4818,2013,Midwest,29171.47,Year,Y,Certified
14539,EZYV14540,Europe,Doctorate,Y,N,2428,2012,Midwest,60083.76,Year,Y,Certified
14540,EZYV14541,Asia,Bachelor's,N,N,593,2005,Northeast,106922.64,Year,Y,Denied
14541,EZYV14542,Asia,Master's,Y,N,1543,1997,South,141681.65,Year,Y,Certified
14542,EZYV14543,Asia,Master's,N,N,1300,2001,West,8240.36,Year,Y,Denied
14543,EZYV14544,Asia,Master's,N,N,782,1992,Midwest,82532.35,Year,Y,Certified
14544,EZYV14545,South America,Bachelor's,Y,N,2497,1980,South,99642.14,Year,Y,Certified
14545,EZYV14546,North America,Master's,N,N,543,1884,Northeast,351.3848,Hour,Y,Denied
14546,EZYV14547,North America,Master's,Y,N,1276,1948,Northeast,38364.01,Year,Y,Denied
14547,EZYV14548,Asia,Bachelor's,N,N,3862,1989,South,238165.9,Year,Y,Certified
14548,EZYV14549,North America,Master's,N,N,21636,2013,Island,129776.33,Year,Y,Denied
14549,EZYV14550,Asia,Bachelor's,N,N,2215,1985,Northeast,55969.91,Year,Y,Certified
14550,EZYV14551,Asia,Bachelor's,Y,N,40315,1864,Midwest,68993.69,Year,Y,Certified
14551,EZYV14552,Asia,Master's,N,N,1589,1968,South,149762.36,Year,N,Certified
14552,EZYV14553,Europe,High School,Y,N,912,2003,West,16497.13,Year,Y,Denied
14553,EZYV14554,Europe,High School,Y,N,494,1976,West,132681.88,Year,Y,Denied
14554,EZYV14555,Asia,Bachelor's,Y,N,3230,1845,Midwest,137798.77,Year,Y,Denied
14555,EZYV14556,Asia,Bachelor's,Y,N,891,1996,South,156784.02,Year,Y,Certified
14556,EZYV14557,Europe,Bachelor's,N,N,248,2001,West,471.7934,Hour,Y,Denied
14557,EZYV14558,Europe,High School,N,N,97,1995,West,1555.99,Year,Y,Denied
14558,EZYV14559,Asia,Master's,N,N,1003,1972,South,71414.91,Year,N,Certified
14559,EZYV14560,Oceania,Bachelor's,Y,N,2668,1968,South,103847.91,Year,Y,Certified
14560,EZYV14561,North America,High School,Y,N,4105,1995,Midwest,34075.65,Year,Y,Denied
14561,EZYV14562,Asia,Bachelor's,N,N,1020,2002,Midwest,56530.98,Year,Y,Certified
14562,EZYV14563,Asia,High School,Y,N,5176,2005,Midwest,122147.09,Year,Y,Denied
14563,EZYV14564,Asia,Bachelor's,Y,N,4099,1995,South,134780.76,Year,Y,Certified
14564,EZYV14565,Asia,Bachelor's,N,N,1672,1984,Northeast,94976.15,Year,Y,Denied
14565,EZYV14566,North America,Bachelor's,Y,N,3315,1969,Northeast,37560.64,Year,N,Denied
14566,EZYV14567,Africa,Master's,Y,N,492,1871,Northeast,132539.07,Year,Y,Certified
14567,EZYV14568,Asia,Doctorate,Y,N,1204,1998,Northeast,399.1941,Hour,Y,Certified
14568,EZYV14569,Asia,Master's,N,N,548,1998,Midwest,125472.25,Year,Y,Certified
14569,EZYV14570,Europe,Bachelor's,N,Y,2177,1955,Northeast,114910.73,Year,Y,Denied
14570,EZYV14571,Europe,Doctorate,N,N,364,2001,Midwest,47424.44,Year,Y,Certified
14571,EZYV14572,Asia,Bachelor's,Y,N,3244,2008,Northeast,134386.1,Year,Y,Certified
14572,EZYV14573,Asia,High School,Y,N,1542,1982,Northeast,10547.5,Year,Y,Denied
14573,EZYV14574,Asia,High School,N,N,9288,1999,West,67923.23,Year,Y,Denied
14574,EZYV14575,Europe,Doctorate,N,N,1132,2001,Northeast,45934.45,Year,Y,Certified
14575,EZYV14576,Africa,Bachelor's,Y,N,2230,1998,South,118.41,Hour,Y,Certified
14576,EZYV14577,North America,Master's,Y,Y,4128,2003,South,125070.15,Year,Y,Certified
14577,EZYV14578,Asia,Bachelor's,Y,N,1861,1984,Northeast,24596.91,Year,Y,Denied
14578,EZYV14579,Asia,Bachelor's,N,Y,3860,1994,West,27213.6,Year,Y,Denied
14579,EZYV14580,Asia,Master's,Y,N,1979,2003,Midwest,183146.72,Year,Y,Certified
14580,EZYV14581,Asia,Master's,Y,N,1987,2006,South,159244.73,Year,N,Certified
14581,EZYV14582,North America,High School,Y,N,1379,1999,West,170568.94,Year,Y,Denied
14582,EZYV14583,Asia,Bachelor's,Y,N,1075,2008,Northeast,135016.15,Year,Y,Certified
14583,EZYV14584,North America,Master's,Y,N,1766,2006,Northeast,47010.86,Year,Y,Denied
14584,EZYV14585,North America,Master's,N,N,2574,1999,Midwest,91679.8,Year,N,Certified
14585,EZYV14586,Asia,Bachelor's,Y,N,1855,1980,South,142770.49,Year,Y,Denied
14586,EZYV14587,Asia,Master's,N,N,423,2013,South,560.816,Hour,Y,Denied
14587,EZYV14588,Asia,Master's,Y,N,532,1999,West,69290.74,Year,Y,Certified
14588,EZYV14589,North America,Master's,N,N,86,2006,South,59343.21,Year,Y,Certified
14589,EZYV14590,Asia,Master's,Y,Y,1859,1984,West,63416.7,Year,Y,Denied
14590,EZYV14591,North America,Master's,Y,N,4812,1974,West,46697.95,Year,Y,Certified
14591,EZYV14592,South America,Master's,Y,N,1320,1899,West,99290.77,Year,Y,Denied
14592,EZYV14593,Asia,Master's,Y,N,2333,1984,South,130.63,Hour,Y,Certified
14593,EZYV14594,Asia,Bachelor's,Y,N,477,1998,South,74933.25,Year,Y,Denied
14594,EZYV14595,Asia,Bachelor's,N,N,3738,1998,Midwest,173509.32,Year,Y,Certified
14595,EZYV14596,Asia,Bachelor's,Y,N,4626,2003,South,572.1959,Hour,Y,Denied
14596,EZYV14597,Europe,Master's,Y,N,5235,1991,West,70130.99,Year,Y,Certified
14597,EZYV14598,Europe,Doctorate,N,N,5092,2010,West,18855.72,Year,Y,Certified
14598,EZYV14599,Asia,Master's,Y,N,3739,1962,Midwest,82875.81,Year,Y,Certified
14599,EZYV14600,Asia,Bachelor's,Y,N,3144,2005,South,110414.44,Year,N,Certified
14600,EZYV14601,Europe,Bachelor's,Y,N,589,1972,West,18202.35,Year,Y,Certified
14601,EZYV14602,North America,Master's,Y,N,75822,1887,West,75942.15,Year,N,Certified
14602,EZYV14603,Asia,Master's,Y,N,2560,2001,Midwest,106088.47,Year,N,Certified
14603,EZYV14604,Asia,High School,Y,N,1599,1984,Northeast,108609.31,Year,Y,Denied
14604,EZYV14605,Europe,Bachelor's,Y,N,2455,1969,Northeast,108609.91,Year,Y,Certified
14605,EZYV14606,Asia,Bachelor's,N,Y,559,2010,South,71753.14,Year,Y,Certified
14606,EZYV14607,Europe,Doctorate,N,N,3016,1987,West,99067.15,Year,Y,Certified
14607,EZYV14608,Asia,Bachelor's,N,N,1703,2009,Northeast,26155.85,Year,Y,Certified
14608,EZYV14609,Asia,Doctorate,Y,N,1570,1984,Midwest,81956.42,Year,N,Certified
14609,EZYV14610,Asia,High School,Y,N,777,2014,Northeast,12443.04,Year,Y,Denied
14610,EZYV14611,Asia,Master's,Y,N,3856,1948,West,143917.45,Year,Y,Certified
14611,EZYV14612,Asia,Master's,Y,N,467,2013,West,555.5698,Hour,Y,Certified
14612,EZYV14613,Asia,High School,Y,N,2071,2000,South,93458.12,Year,N,Denied
14613,EZYV14614,North America,Master's,N,N,1670,1988,Midwest,64715.49,Year,Y,Certified
14614,EZYV14615,Europe,High School,N,N,358,1986,West,16515.69,Year,Y,Denied
14615,EZYV14616,North America,Doctorate,Y,N,160,1929,West,28450.29,Year,Y,Denied
14616,EZYV14617,Asia,Master's,N,N,256640,1871,West,22939.32,Year,Y,Denied
14617,EZYV14618,Asia,Master's,Y,N,412,2009,Northeast,179.62,Year,Y,Certified
14618,EZYV14619,Asia,Master's,Y,N,633,2007,West,360.0052,Hour,Y,Certified
14619,EZYV14620,Asia,Bachelor's,N,N,3355,2009,South,76482.16,Year,N,Denied
14620,EZYV14621,North America,Master's,Y,N,2782,1865,South,999.1929,Hour,Y,Certified
14621,EZYV14622,Asia,Bachelor's,Y,N,45,1974,Northeast,91329.26,Year,N,Certified
14622,EZYV14623,North America,Bachelor's,Y,N,416,2010,South,8861.58,Year,Y,Denied
14623,EZYV14624,Asia,Doctorate,N,Y,2073,1999,Northeast,125086.67,Year,Y,Certified
14624,EZYV14625,North America,Doctorate,Y,N,24084,1995,Northeast,58092.99,Year,Y,Certified
14625,EZYV14626,Asia,Doctorate,N,N,2375,2011,West,31576.24,Year,Y,Denied
14626,EZYV14627,Asia,Bachelor's,Y,N,3807,2011,South,127174.77,Year,Y,Certified
14627,EZYV14628,North America,Bachelor's,N,N,142672,1993,West,77655.72,Year,Y,Denied
14628,EZYV14629,Asia,Bachelor's,N,N,3865,1998,Midwest,144405.55,Year,Y,Certified
14629,EZYV14630,Asia,Master's,Y,N,2699,1986,West,67054.84,Year,Y,Certified
14630,EZYV14631,Asia,High School,Y,N,704,2009,Midwest,22842.07,Year,Y,Denied
14631,EZYV14632,Asia,Master's,Y,N,789,2012,Northeast,37197.27,Year,Y,Certified
14632,EZYV14633,Europe,Master's,N,N,1606,1902,Northeast,3078.91,Year,Y,Denied
14633,EZYV14634,North America,Master's,Y,N,20791,2003,West,62130.66,Year,Y,Certified
14634,EZYV14635,Asia,High School,N,N,870,1838,West,120380.18,Year,N,Denied
14635,EZYV14636,Asia,Master's,Y,N,3401,1867,Midwest,111006.64,Year,Y,Certified
14636,EZYV14637,Europe,Bachelor's,Y,N,1777,2002,West,34508.24,Year,Y,Certified
14637,EZYV14638,Asia,Bachelor's,N,Y,332,1999,West,70194.71,Year,Y,Denied
14638,EZYV14639,Africa,Bachelor's,N,N,270,2000,Midwest,10668.41,Year,Y,Certified
14639,EZYV14640,South America,Bachelor's,Y,N,42444,2010,Midwest,14581.15,Year,Y,Certified
14640,EZYV14641,Asia,Master's,Y,N,12145,2009,Northeast,55516.45,Year,Y,Certified
14641,EZYV14642,Europe,Bachelor's,Y,N,3467,1969,South,95091.66,Year,Y,Certified
14642,EZYV14643,Europe,Master's,Y,N,2391,2006,West,143933.16,Year,Y,Certified
14643,EZYV14644,Asia,Doctorate,Y,N,1090,1982,South,42143.81,Year,Y,Certified
14644,EZYV14645,North America,Master's,Y,N,5336,1997,West,92655.39,Year,Y,Certified
14645,EZYV14646,Asia,Bachelor's,N,N,293,1954,Northeast,41315.88,Year,Y,Certified
14646,EZYV14647,South America,Bachelor's,Y,Y,2134,2010,South,38552.85,Year,Y,Certified
14647,EZYV14648,Asia,Bachelor's,N,N,1676,1984,West,128687.82,Year,Y,Certified
14648,EZYV14649,Europe,Doctorate,N,N,363,2013,West,51657.51,Year,Y,Certified
14649,EZYV14650,Europe,Doctorate,Y,N,2212,1976,West,63037.47,Year,Y,Certified
14650,EZYV14651,Asia,Master's,Y,N,353,1999,South,120312.37,Year,N,Certified
14651,EZYV14652,Europe,Bachelor's,N,N,1115,1997,Northeast,949.4941,Hour,Y,Denied
14652,EZYV14653,North America,Bachelor's,Y,N,668,2007,Northeast,52095.48,Year,N,Certified
14653,EZYV14654,Asia,High School,Y,N,882,1996,South,40855.37,Year,Y,Denied
14654,EZYV14655,North America,Bachelor's,N,N,3223,1983,West,10901.66,Year,Y,Denied
14655,EZYV14656,Africa,Bachelor's,Y,N,784,2001,Northeast,111660.51,Year,Y,Certified
14656,EZYV14657,Asia,Bachelor's,N,Y,621,1881,South,36187.26,Year,Y,Certified
14657,EZYV14658,Europe,Bachelor's,Y,N,932,1978,West,35665.33,Year,Y,Certified
14658,EZYV14659,Asia,Bachelor's,Y,N,1286,1993,Northeast,79784.75,Year,Y,Denied
14659,EZYV14660,Asia,High School,Y,N,1870,1962,South,6910.74,Year,N,Denied
14660,EZYV14661,Asia,Master's,N,N,755,2000,Northeast,160078.93,Year,Y,Denied
14661,EZYV14662,Africa,High School,Y,N,1429,2008,Midwest,130441.34,Year,Y,Denied
14662,EZYV14663,Asia,High School,N,N,2287,2001,Midwest,22213.77,Year,Y,Denied
14663,EZYV14664,Asia,High School,N,N,1502,1987,West,388.4961,Hour,Y,Denied
14664,EZYV14665,Asia,Bachelor's,Y,N,5122,1888,West,20876.92,Year,Y,Certified
14665,EZYV14666,Europe,Bachelor's,Y,N,67441,1997,West,44342.91,Year,Y,Certified
14666,EZYV14667,Asia,Bachelor's,N,N,1668,1987,South,165763.23,Year,N,Certified
14667,EZYV14668,Europe,Master's,N,Y,3286,2003,West,19115.29,Year,Y,Certified
14668,EZYV14669,Europe,Master's,N,N,431,1838,Midwest,33833.61,Year,Y,Certified
14669,EZYV14670,Europe,Doctorate,N,N,1371,1909,South,17249.08,Year,Y,Certified
14670,EZYV14671,Asia,Bachelor's,Y,N,1869,1984,Midwest,186594.05,Year,N,Certified
14671,EZYV14672,Europe,Doctorate,N,N,2610,1883,Northeast,20044.97,Year,Y,Certified
14672,EZYV14673,Asia,Master's,Y,N,4167,2007,South,95216.79,Year,Y,Certified
14673,EZYV14674,Asia,Bachelor's,Y,N,3245,1977,South,21617.9,Year,N,Certified
14674,EZYV14675,Asia,Master's,Y,Y,1986,2013,South,132164.41,Year,Y,Certified
14675,EZYV14676,Europe,Bachelor's,N,Y,2004,1992,Midwest,101108.49,Year,Y,Certified
14676,EZYV14677,Europe,Master's,Y,N,1765,1998,Northeast,5069.04,Year,Y,Certified
14677,EZYV14678,North America,Master's,Y,N,1688,1974,West,11477.12,Year,Y,Certified
14678,EZYV14679,North America,Master's,N,N,3682,1999,West,126.4943,Hour,Y,Denied
14679,EZYV14680,Asia,Bachelor's,Y,N,3937,1912,Northeast,185874.1,Year,Y,Denied
14680,EZYV14681,Europe,Bachelor's,Y,N,2586,1999,Northeast,9801.82,Year,Y,Certified
14681,EZYV14682,Asia,High School,Y,N,235,1971,Northeast,303.4445,Hour,Y,Denied
14682,EZYV14683,Europe,Bachelor's,Y,N,2945,1920,South,167385.56,Year,Y,Certified
14683,EZYV14684,North America,Master's,N,Y,734,2006,West,53377.14,Year,Y,Certified
14684,EZYV14685,Asia,High School,N,N,1926,2002,Northeast,61539.43,Year,Y,Denied
14685,EZYV14686,Asia,Master's,Y,N,2074,2005,West,141125.34,Year,N,Certified
14686,EZYV14687,North America,Bachelor's,N,N,1056,1897,West,48.1309,Hour,Y,Denied
14687,EZYV14688,Asia,Bachelor's,N,Y,1835,2008,South,104888.83,Year,Y,Certified
14688,EZYV14689,Europe,Doctorate,Y,N,2131,1919,West,29423.23,Year,Y,Certified
14689,EZYV14690,Asia,High School,Y,N,3304,1992,South,60157.79,Year,Y,Denied
14690,EZYV14691,Asia,Doctorate,Y,N,84643,1983,West,43831.76,Year,N,Certified
14691,EZYV14692,Asia,Master's,N,N,2296,1887,Midwest,98799.23,Year,Y,Certified
14692,EZYV14693,North America,Master's,Y,N,6300,1963,South,116212.55,Year,N,Certified
14693,EZYV14694,Asia,Master's,N,N,2497,2011,Midwest,268110.52,Year,Y,Certified
14694,EZYV14695,Asia,Master's,Y,N,5967,2005,Northeast,15047.29,Year,N,Certified
14695,EZYV14696,Asia,High School,N,N,2085,2011,West,609.488,Hour,Y,Denied
14696,EZYV14697,North America,Master's,Y,N,3095,1942,Midwest,22005.82,Year,Y,Certified
14697,EZYV14698,Asia,Master's,N,N,1284,1991,Midwest,97892.78,Year,Y,Denied
14698,EZYV14699,Asia,Bachelor's,Y,N,1200,2007,Northeast,134019.33,Year,Y,Denied
14699,EZYV14700,Asia,Master's,Y,N,4695,1988,Northeast,128999.16,Year,Y,Certified
14700,EZYV14701,Asia,High School,Y,N,466,1998,Northeast,91464.52,Year,Y,Denied
14701,EZYV14702,Africa,Master's,Y,N,110206,1928,Midwest,228645.15,Year,Y,Certified
14702,EZYV14703,Asia,Master's,N,Y,2398,1961,West,58407.62,Year,Y,Certified
14703,EZYV14704,Europe,Bachelor's,Y,N,388,2013,Northeast,60908.23,Year,Y,Certified
14704,EZYV14705,Oceania,Doctorate,N,N,1847,2000,West,4936.86,Year,Y,Certified
14705,EZYV14706,Asia,Bachelor's,N,N,1605,1932,South,68036.26,Year,Y,Denied
14706,EZYV14707,Asia,Bachelor's,N,N,4401,1968,West,66759.41,Year,Y,Certified
14707,EZYV14708,Asia,Bachelor's,Y,Y,1509,1979,Northeast,30146.18,Year,Y,Denied
14708,EZYV14709,Asia,High School,Y,N,184,2005,Northeast,87843.72,Year,Y,Denied
14709,EZYV14710,North America,High School,Y,N,1973,2001,West,123836.68,Year,Y,Denied
14710,EZYV14711,Asia,Master's,Y,N,5445,1963,West,90439.22,Year,Y,Certified
14711,EZYV14712,Asia,High School,Y,N,3980,1997,Midwest,42245.37,Year,Y,Denied
14712,EZYV14713,Asia,Master's,N,N,6103,1971,West,84155.53,Year,Y,Certified
14713,EZYV14714,Asia,High School,N,N,530,1999,Midwest,59240.52,Year,Y,Denied
14714,EZYV14715,Europe,Master's,N,N,3302,1893,Island,21802.99,Year,Y,Certified
14715,EZYV14716,North America,High School,N,N,590,2009,Northeast,65588.4,Year,N,Denied
14716,EZYV14717,Europe,Bachelor's,N,Y,2350,1961,West,101282.28,Year,Y,Certified
14717,EZYV14718,Asia,Master's,Y,N,3718,2001,Midwest,791.2334,Hour,Y,Certified
14718,EZYV14719,North America,Master's,Y,N,5563,2010,West,16205.36,Year,Y,Denied
14719,EZYV14720,Asia,Master's,N,N,575,2008,Midwest,78791.12,Year,Y,Certified
14720,EZYV14721,Asia,Doctorate,Y,N,797,1909,Midwest,69071.14,Year,Y,Certified
14721,EZYV14722,South America,Master's,Y,N,1989,2000,Midwest,140500.24,Year,Y,Certified
14722,EZYV14723,Asia,Bachelor's,N,N,1467,2001,South,493.0842,Hour,Y,Certified
14723,EZYV14724,Asia,Bachelor's,Y,N,3551,1978,Midwest,122703.66,Year,Y,Certified
14724,EZYV14725,North America,Bachelor's,N,N,2340,2013,West,80371.94,Year,Y,Denied
14725,EZYV14726,Asia,Master's,Y,N,724,2010,Northeast,126215.33,Year,N,Certified
14726,EZYV14727,Asia,Master's,N,N,-11,2000,Midwest,167851.8,Year,Y,Certified
14727,EZYV14728,North America,Master's,N,N,2587,2005,Island,81536.92,Year,N,Certified
14728,EZYV14729,Europe,Master's,N,N,2475,1981,West,46648.0,Year,Y,Certified
14729,EZYV14730,Europe,Doctorate,Y,N,3881,2005,South,51562.12,Year,Y,Certified
14730,EZYV14731,Asia,Doctorate,N,N,1139,2006,Northeast,76128.75,Year,Y,Certified
14731,EZYV14732,Asia,Master's,Y,N,2581,1962,West,94503.97,Week,Y,Certified
14732,EZYV14733,Asia,Bachelor's,Y,N,2522,1993,Northeast,38219.26,Year,Y,Denied
14733,EZYV14734,Asia,Bachelor's,N,N,892,1989,South,784.0817,Hour,Y,Denied
14734,EZYV14735,Asia,High School,N,Y,2859,2002,West,82124.12,Year,Y,Denied
14735,EZYV14736,Asia,Master's,N,N,2219,2001,West,31020.2,Year,Y,Denied
14736,EZYV14737,Asia,Bachelor's,Y,N,1409,2008,South,19863.08,Year,Y,Denied
14737,EZYV14738,Asia,Master's,Y,N,3257,1947,South,47689.02,Year,Y,Certified
14738,EZYV14739,Asia,Bachelor's,Y,N,1793,2011,West,57644.02,Year,Y,Denied
14739,EZYV14740,Europe,Bachelor's,N,N,2504,1998,South,127260.07,Year,Y,Denied
14740,EZYV14741,North America,High School,Y,N,1665,1968,West,57482.25,Year,Y,Denied
14741,EZYV14742,Asia,High School,Y,N,13008,2001,West,76080.63,Year,Y,Denied
14742,EZYV14743,North America,Doctorate,Y,N,6506,1992,West,60173.66,Year,Y,Denied
14743,EZYV14744,Asia,Master's,N,N,1393,2008,Northeast,140028.57,Year,N,Denied
14744,EZYV14745,North America,Bachelor's,Y,N,174,1997,South,177495.82,Year,Y,Denied
14745,EZYV14746,Asia,Bachelor's,N,Y,125415,1999,West,70438.55,Year,Y,Denied
14746,EZYV14747,North America,Bachelor's,N,N,1024,2000,West,257781.92,Year,N,Denied
14747,EZYV14748,North America,Bachelor's,Y,N,1063,1989,West,41079.5,Year,Y,Denied
14748,EZYV14749,Asia,Master's,Y,N,4304,2009,West,219284.2,Year,Y,Certified
14749,EZYV14750,North America,Master's,Y,N,1574,2013,Midwest,25088.57,Year,Y,Certified
14750,EZYV14751,Asia,Bachelor's,Y,N,2991,2005,West,88015.48,Year,Y,Certified
14751,EZYV14752,Europe,Doctorate,N,Y,1034,1962,West,31124.89,Year,Y,Certified
14752,EZYV14753,Europe,Master's,Y,N,1390,2013,Northeast,117480.79,Year,Y,Certified
14753,EZYV14754,Asia,Bachelor's,N,N,847,1925,Northeast,165033.72,Year,N,Denied
14754,EZYV14755,Asia,Bachelor's,N,Y,6417,2001,Northeast,17135.55,Year,Y,Denied
14755,EZYV14756,Asia,High School,N,N,3248,1997,South,136991.5,Year,Y,Denied
14756,EZYV14757,Asia,High School,N,N,743,1854,Northeast,139185.13,Year,Y,Denied
14757,EZYV14758,North America,Master's,Y,N,4684,1999,South,91530.18,Year,Y,Certified
14758,EZYV14759,Asia,Master's,N,N,3709,1982,Midwest,97137.03,Year,Y,Certified
14759,EZYV14760,Asia,Master's,Y,N,2538,1952,Northeast,43602.19,Year,Y,Certified
14760,EZYV14761,Asia,Bachelor's,N,N,3322,2001,Northeast,49969.15,Year,Y,Denied
14761,EZYV14762,Asia,Doctorate,N,Y,1000,1855,South,112491.31,Year,Y,Certified
14762,EZYV14763,Europe,Master's,Y,N,2906,2001,West,10762.94,Year,Y,Certified
14763,EZYV14764,Asia,Master's,Y,Y,1922,2010,South,115031.65,Year,Y,Certified
14764,EZYV14765,South America,High School,N,N,2027,1998,Northeast,22510.58,Year,Y,Denied
14765,EZYV14766,Asia,Master's,Y,N,339,2003,South,178416.43,Year,Y,Certified
14766,EZYV14767,Asia,Master's,Y,N,4979,2010,Northeast,8922.74,Year,Y,Certified
14767,EZYV14768,Asia,Bachelor's,N,Y,510,2013,West,34479.01,Year,Y,Denied
14768,EZYV14769,Asia,Doctorate,Y,N,6042,2004,Northeast,69139.87,Year,Y,Certified
14769,EZYV14770,Asia,High School,N,N,365,2014,Midwest,102356.16,Year,Y,Denied
14770,EZYV14771,South America,High School,Y,N,1674,1911,West,125189.0,Year,Y,Denied
14771,EZYV14772,Asia,Master's,Y,N,1991,2007,South,154825.43,Year,Y,Certified
14772,EZYV14773,Asia,Master's,N,N,3404,1999,South,123637.31,Year,Y,Certified
14773,EZYV14774,Asia,Bachelor's,N,N,1052,1993,Northeast,65252.28,Year,Y,Certified
14774,EZYV14775,North America,Master's,N,Y,2261,1998,Midwest,77759.18,Year,Y,Certified
14775,EZYV14776,Europe,High School,Y,Y,1044,1875,Northeast,28571.32,Year,Y,Denied
14776,EZYV14777,South America,Bachelor's,N,N,355,1993,Midwest,81457.08,Year,Y,Certified
14777,EZYV14778,North America,Master's,Y,N,1659,1977,Island,105361.83,Year,Y,Denied
14778,EZYV14779,Asia,High School,Y,N,3954,1968,Northeast,43766.4,Year,Y,Denied
14779,EZYV14780,North America,Master's,Y,N,2727,2003,Midwest,10336.08,Year,Y,Certified
14780,EZYV14781,Asia,Bachelor's,N,N,1429,1993,Northeast,131.6884,Hour,Y,Certified
14781,EZYV14782,Asia,Master's,N,N,4094,1993,South,641.4029,Hour,Y,Denied
14782,EZYV14783,Asia,Master's,Y,N,940,2002,West,10765.47,Year,Y,Certified
14783,EZYV14784,Asia,High School,N,N,1132,2010,Midwest,78399.09,Year,Y,Denied
14784,EZYV14785,Asia,Bachelor's,Y,N,282,2009,Northeast,74274.38,Year,Y,Denied
14785,EZYV14786,Africa,Doctorate,Y,N,308,2013,Northeast,22909.05,Year,Y,Certified
14786,EZYV14787,Asia,Master's,Y,Y,523,2014,West,104242.78,Year,Y,Certified
14787,EZYV14788,Asia,Master's,Y,N,405,2007,Northeast,87315.43,Year,Y,Certified
14788,EZYV14789,Asia,Doctorate,N,N,422,2003,Midwest,52550.31,Year,Y,Denied
14789,EZYV14790,Asia,High School,N,Y,3145,2001,South,22534.89,Year,Y,Denied
14790,EZYV14791,Europe,Bachelor's,N,N,1718,2013,South,36205.27,Year,Y,Certified
14791,EZYV14792,Asia,Master's,Y,N,3692,2009,West,110408.43,Year,N,Certified
14792,EZYV14793,Europe,Doctorate,N,N,465,1989,Northeast,9107.57,Year,Y,Certified
14793,EZYV14794,Asia,High School,N,N,3886,2004,South,101615.61,Year,Y,Denied
14794,EZYV14795,Asia,Bachelor's,N,N,426,1998,South,123688.44,Year,Y,Denied
14795,EZYV14796,Asia,Master's,Y,N,877,2014,Northeast,888.1118,Hour,Y,Certified
14796,EZYV14797,Oceania,Master's,N,N,119513,1918,South,950.1237,Hour,Y,Certified
14797,EZYV14798,Asia,Bachelor's,N,N,393,2001,West,83853.08,Year,Y,Denied
14798,EZYV14799,Asia,Master's,Y,N,1649,1994,Northeast,36804.4,Year,Y,Certified
14799,EZYV14800,Asia,Master's,N,Y,768,1989,Northeast,87557.45,Year,Y,Certified
14800,EZYV14801,South America,Master's,Y,N,2481,1887,West,40515.44,Year,Y,Denied
14801,EZYV14802,Asia,High School,Y,N,650,1998,Island,27336.97,Year,Y,Denied
14802,EZYV14803,Asia,Bachelor's,N,N,2047,1999,West,69560.91,Year,Y,Denied
14803,EZYV14804,Asia,Bachelor's,Y,Y,2849,2007,Northeast,41071.16,Year,Y,Denied
14804,EZYV14805,Europe,Doctorate,N,N,417,1838,West,733.98,Year,Y,Certified
14805,EZYV14806,Europe,Doctorate,Y,N,3100,2006,Northeast,10166.98,Year,Y,Certified
14806,EZYV14807,Europe,Doctorate,Y,N,589,2009,Midwest,87917.4,Year,Y,Certified
14807,EZYV14808,Asia,Master's,N,N,2827,1984,Midwest,120969.2,Year,Y,Certified
14808,EZYV14809,Asia,Master's,N,N,710,1879,South,139491.08,Year,Y,Denied
14809,EZYV14810,Asia,Master's,Y,N,1302,1973,Northeast,68394.95,Year,Y,Certified
14810,EZYV14811,Asia,Master's,N,N,20134,2006,Northeast,318446.05,Year,Y,Certified
14811,EZYV14812,Asia,Bachelor's,Y,N,1527,1974,West,76886.56,Year,Y,Certified
14812,EZYV14813,Asia,Master's,Y,N,2251,1968,Midwest,88110.88,Year,Y,Certified
14813,EZYV14814,Asia,Master's,N,N,2168,1840,South,399.4619,Hour,Y,Denied
14814,EZYV14815,North America,Bachelor's,Y,N,155,1997,Northeast,55409.58,Year,Y,Denied
14815,EZYV14816,Asia,Bachelor's,Y,N,3639,2003,Northeast,115322.06,Year,Y,Denied
14816,EZYV14817,Africa,Master's,N,Y,1849,1999,West,307716.1,Year,Y,Certified
14817,EZYV14818,Asia,Master's,N,N,1042,2010,South,130623.82,Year,N,Certified
14818,EZYV14819,Asia,High School,N,N,3584,2003,Northeast,60971.96,Year,Y,Denied
14819,EZYV14820,Asia,Master's,N,N,1871,1975,Midwest,782.6246,Hour,Y,Denied
14820,EZYV14821,Asia,Master's,Y,N,1885,1982,South,100105.34,Year,Y,Certified
14821,EZYV14822,Asia,Bachelor's,N,N,830,1996,South,42537.9,Year,Y,Certified
14822,EZYV14823,Asia,Bachelor's,N,N,2890,1865,Midwest,60563.34,Year,Y,Certified
14823,EZYV14824,Asia,Master's,N,N,3874,2010,Northeast,87996.91,Year,N,Certified
